"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2494.27310186447,2640.83463894587,0.73428,NA,29.07,0,28.369,0,0,0.558,0,1,0,0,1,1,0,0,0.993
"log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2494.89359155369,2660.05420401951,0.7386,NA,34.23,0,28.99,19.22,0,0,1,1,0,0,0,1,0,0,0.993
"log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2495.09116642763,2645.06261319296,0.73507,NA,29.89,0,29.187,4.228,0,0.067,0,1,0,1,1,1,0,0,0.993
"log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2495.46285898771,2674.02280437488,0.74049,NA,35.14,0,29.559,33.188,0,0,1,1,0,1,1,0,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2495.48175826299,2684.82552262241,0.74149,NA,37.02,0,29.578,43.991,0,0,1,1,0,1,1,0,1,0,0.993
"log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2495.77412625186,2646.39492864553,0.73429,NA,30,0,29.87,5.56,0,0.035,1,1,0,0,1,1,0,0,0.993
"Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2496.35615066881,2652.49434745439,0.73529,NA,31.13,0,30.452,11.66,0,0.002,0,1,0,0,1,0,0,0,0.993
"log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2496.67470050317,2650.51688430501,0.73499,NA,30.76,0,30.771,9.682,0,0.004,1,1,0,1,1,1,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2497.49436224626,2659.38845005933,0.73421,NA,31.15,0,31.591,18.554,0,0,1,1,0,0,1,1,1,0,0.993
"log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp","log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2497.80974724416,2674.00083261242,0.73835,NA,34.8,0,31.906,33.166,0,0,0,1,0,0,0,0,1,0,0.993
"log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2498.10039378105,2657.67634758928,0.73476,NA,31.8,0,32.197,16.842,0,0,1,1,0,0,1,0,0,0,0.993
