"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2502.74249453688,2705.63907510514,0.7247,NA,40.64,0,36.839,64.804,0,0,1,0,1,1,0,0,1,1,0.993
"log_Min_Monthly_NPP+log_UBR_Max","log_Min_Monthly_NPP+log_UBR_Max","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2503.10588873898,2676.82846655319,0.72387,NA,35.6,0,37.202,35.994,0,0,0,0,0,1,0,0,0,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2503.27145937475,2705.87031758924,0.72499,NA,40.65,0,37.368,65.036,0,0,1,0,1,1,0,1,1,1,0.993
"log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2503.37662663218,2678.49582543476,0.7247,NA,35.81,0,37.473,37.661,0,0,0,0,0,1,0,1,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2504.00091349383,2692.06816206859,0.72387,NA,37.67,0,38.097,51.234,0,0,0,0,0,1,0,0,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max","Days_10N+log_Min_Monthly_NPP+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2504.60928163769,2689.68299789084,0.72428,NA,37.02,0,38.706,48.848,0,0,0,0,1,1,0,0,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2504.75020845773,2695.53646751296,0.72584,NA,37.93,0,38.846,54.702,0,0,0,0,1,1,1,1,1,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2504.93176187595,2694.05170989584,0.72501,NA,38.14,0,39.028,53.217,0,0,1,0,1,1,0,0,0,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max","log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2505.02311013344,2683.09247838614,0.72412,NA,36.58,0,39.119,42.258,0,0,1,0,0,1,0,0,0,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2505.10149057023,2699.03700516318,0.72484,NA,38.92,0,39.198,58.202,0,0,1,0,1,1,1,0,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2505.19663029175,2691.42313529476,0.72495,NA,37.16,0,39.293,50.588,0,0,0,0,1,1,0,1,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2505.28641722916,2694.46299133995,0.72415,NA,37.67,0,39.383,53.628,0,0,0,0,0,1,0,1,1,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2506.03636378759,2698.55834285685,0.724,NA,38.67,0,40.133,57.724,0,0,1,0,0,1,0,0,1,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2506.05343843837,2696.96719321259,0.72574,NA,38.24,0,40.15,56.133,0,0,1,0,1,1,0,1,0,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2506.32014027017,2701.83135863543,0.72611,NA,39.02,0,40.416,60.997,0,0,1,0,1,1,1,1,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2506.36319903679,2682.87153293241,0.72482,NA,35.48,0,40.459,42.037,0,0,0,0,1,1,1,0,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2507.1203934451,2700.69390607868,0.72437,NA,38.7,0,41.217,59.859,0,0,1,0,0,1,0,1,1,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2507.61742432219,2694.85241719844,0.72377,NA,36.74,0,41.714,54.018,0,0,0,0,0,1,1,0,1,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2507.7322049893,2688.76424953159,0.72494,NA,36.45,0,41.828,47.93,0,0,0,0,1,1,1,0,1,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2507.90293656434,2691.4411486783,0.72495,NA,36.72,0,41.999,50.607,0,0,1,0,0,1,0,1,0,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2508.23317278484,2689.63060279744,0.72517,NA,36.53,0,42.329,48.796,0,0,1,0,1,1,1,0,0,1,0.993
"log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2508.23786260179,2678.89711074682,0.72421,NA,34.16,0,42.334,38.062,0,0,0,0,0,1,1,1,0,1,0.993
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2508.47331006271,2686.11188996713,0.72593,NA,35.31,0,42.57,45.277,0,0,0,0,1,1,1,1,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2508.64274995007,2694.61990408066,0.72421,NA,36.46,0,42.739,53.785,0,0,0,0,0,1,1,1,1,1,0.993
"log_Min_Monthly_NPP+log_UBR_Max+mean_depth","log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2508.86050293732,2684.29342894373,0.72347,NA,34.47,0,42.957,43.459,0,0,0,0,0,1,1,0,0,1,0.993
"log_UBR_Max","log_UBR_Max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2509.96137178428,2670.3480137479,0.72855,NA,33,0,44.058,29.513,0,0,0,0,0,1,0,0,0,0,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2510.00826125559,2692.58604348308,0.72647,NA,36.43,0,44.105,51.751,0,0,1,0,1,1,1,1,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2510.10294863506,2701.26542281257,0.72355,NA,37.61,0,44.199,60.431,0,0,1,0,0,1,1,0,1,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2510.65642672352,2685.98196546659,0.72425,NA,35.12,0,44.753,45.147,0,0,1,0,0,1,1,1,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2510.89822245561,2701.14531831609,0.72416,NA,37.42,0,44.994,60.311,0,0,1,0,0,1,1,1,1,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2511.51658439121,2691.24649160657,0.72327,NA,35.35,0,45.613,50.412,0,0,1,0,0,1,1,0,0,1,0.993
"log_Days_16C+log_UBR_Max","log_Days_16C+log_UBR_Max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2511.58591391415,2676.38648419399,0.72873,NA,34.02,0,45.682,35.552,0,0,1,0,0,1,0,0,0,0,0.993
"Days_10N+log_UBR_Max","Days_10N+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2511.59582560729,2683.21970975557,0.7285,NA,34.38,0,45.692,42.385,0,0,0,0,1,1,0,0,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2511.64830536461,2676.07535077614,0.72848,NA,33.9,0,45.745,35.241,0,0,0,0,0,1,0,0,1,0,0.993
"Days_10N+log_Days_16C+log_UBR_Max","Days_10N+log_Days_16C+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2511.90435927496,2687.30043136946,0.72882,NA,35.46,0,46.001,46.466,0,0,1,0,1,1,0,0,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2512.04131987874,2677.63999696213,0.72923,NA,34.04,0,46.138,36.805,0,0,0,0,0,1,0,1,1,0,0.993
"log_UBR_Max+mean_depth","log_UBR_Max+mean_depth","s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2512.42078067932,2669.72562598158,0.72848,NA,32.08,0,46.517,28.891,0,0,0,0,0,1,1,0,0,0,0.993
"Days_10N+log_UBR_Max+mean_prob_of_rock","Days_10N+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2512.91130997406,2686.40551455644,0.72922,NA,34.43,0,47.008,45.571,0,0,0,0,1,1,0,1,0,0,0.993
"Days_10N+log_UBR_Max+mean_depth","Days_10N+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.02985883121,2677.61198615713,0.72931,NA,33.21,0,47.126,36.777,0,0,0,0,1,1,1,0,0,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.23941837411,2681.91809391395,0.72866,NA,34.91,0,47.336,41.083,0,0,1,0,0,1,0,0,1,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.29194036244,2688.97752866288,0.7284,NA,35.26,0,47.388,48.143,0,0,0,0,1,1,0,0,1,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.58460191403,2692.94346676659,0.72873,NA,36.35,0,47.681,52.109,0,0,1,0,1,1,0,0,1,0,0.993
"log_UBR_Max+mean_prob_of_rock","log_UBR_Max+mean_prob_of_rock","s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.63060008799,2680.23860343024,0.72928,NA,33.05,0,47.727,39.404,0,0,0,0,0,1,0,1,0,0,0.993
"Days_10N+log_Days_16C+log_UBR_Max+mean_prob_of_rock","Days_10N+log_Days_16C+log_UBR_Max+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.91030735286,2691.9061760169,0.72957,NA,35.45,0,48.007,51.072,0,0,1,0,1,1,0,1,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+mean_depth","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2513.99389575983,2675.39414526598,0.7285,NA,32.99,0,48.09,34.56,0,0,0,0,0,1,1,0,1,0,0.993
"log_Days_16C+log_UBR_Max+mean_depth","log_Days_16C+log_UBR_Max+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2514.25036781936,2676.25128943378,0.72869,NA,33.14,0,48.347,35.417,0,0,1,0,0,1,1,0,0,0,0.993
"Days_10N+log_Days_16C+log_UBR_Max+mean_depth","Days_10N+log_Days_16C+log_UBR_Max+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2514.37619526242,2683.76976209115,0.72959,NA,34.32,0,48.472,42.935,0,0,1,0,1,1,1,0,0,0,0.993
"log_UBR_Max+mean_depth+mean_prob_of_rock","log_UBR_Max+mean_depth+mean_prob_of_rock","s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2514.95048156071,2672.49329711829,0.72909,NA,31.63,0,49.047,31.659,0,0,0,0,0,1,1,1,0,0,0.993
"log_Days_16C+log_UBR_Max+mean_prob_of_rock","log_Days_16C+log_UBR_Max+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2515.20069381529,2686.18761210859,0.72947,NA,34.07,0,49.297,45.353,0,0,1,0,0,1,0,1,0,0,0.993
