"","summary_stat","mean_stat","submodel"
"111","mean_R.sqr_test",18.9521718946099,"bm19"
"112","mean_residuals",-0.201674962173018,"bm19"
"113","mean_residuals_test",0.619379723326304,"bm19"
"114","rmse",1.26729542349861,"bm19"
"115","dev.exp",0.0538279788797194,"bm20"
"116","mean_R.Sqr",0.591518992586452,"bm20"
"117","mean_R.sqr_test",14.4547961268253,"bm20"
"118","mean_residuals",-0.204307650248249,"bm20"
"119","mean_residuals_test",0.593399428477661,"bm20"
"120","rmse",1.20680752796218,"bm20"
"121","dev.exp",0.0590820423384,"bm21"
"122","mean_R.Sqr",0.623206539236645,"bm21"
"123","mean_R.sqr_test",16.6171573407893,"bm21"
"124","mean_residuals",-0.202040318627839,"bm21"
"125","mean_residuals_test",0.614558164901729,"bm21"
"126","rmse",1.26538228837775,"bm21"
"127","dev.exp",0.0589284287035662,"bm22"
"128","mean_R.Sqr",0.62281938153966,"bm22"
"129","mean_R.sqr_test",18.5329309075282,"bm22"
"130","mean_residuals",-0.202465600958395,"bm22"
"131","mean_residuals_test",0.613694375406513,"bm22"
"132","rmse",1.25614409600339,"bm22"
"133","dev.exp",0.0583263761556754,"bm23"
"134","mean_R.Sqr",0.61401987836419,"bm23"
"135","mean_R.sqr_test",16.3198475331468,"bm23"
"136","mean_residuals",-0.20231310684333,"bm23"
"137","mean_residuals_test",0.6061973727502,"bm23"
"138","rmse",1.25230625499905,"bm23"
"139","dev.exp",0.0600111449808491,"bm24"
"140","mean_R.Sqr",0.629078024468497,"bm24"
"141","mean_R.sqr_test",16.9480425222611,"bm24"
"142","mean_residuals",-0.201405216224395,"bm24"
"143","mean_residuals_test",0.614853851830521,"bm24"
"144","rmse",1.27052119627658,"bm24"
"145","dev.exp",0.059670480820795,"bm25"
"146","mean_R.Sqr",0.624664133010345,"bm25"
"147","mean_R.sqr_test",16.4005823659007,"bm25"
"148","mean_residuals",-0.202779235085,"bm25"
"149","mean_residuals_test",0.602435694707605,"bm25"
"150","rmse",1.25558746619784,"bm25"
