"x","y","s_index_nereo"
395977.000000008,4650584.99999996,2.10756897926331
396877.000000008,4650584.99999996,2.76476955413818
397777.000000008,4650584.99999996,2.56870937347412
398677.000000008,4650584.99999996,2.05435105164846
396877.000000008,4649684.99999996,2.77658673695156
397777.000000008,4649684.99999996,3.12278705173069
398677.000000008,4649684.99999996,2.76427200105455
396877.000000008,4648784.99999996,2.41517746448517
397777.000000008,4648784.99999996,2.48476685796465
398677.000000008,4648784.99999996,2.76382417149014
397777.000000008,4647884.99999996,2.26290884017944
398677.000000008,4647884.99999996,3.11077112621731
399577.000000008,4647884.99999996,2.41872398058573
397777.000000008,4646984.99999996,2.22031450271606
398677.000000008,4646984.99999996,2.39588963985443
399577.000000008,4646984.99999996,1.87932574748993
398677.000000008,4646084.99999996,1.90602985024452
399577.000000008,4646084.99999996,1.83682960271835
398677.000000008,4645184.99999996,1.80989662806193
398677.000000008,4643384.99999996,2.48518278598785
398677.000000008,4642484.99999996,2.21411814689636
398677.000000008,4641584.99999996,1.89902565479279
398677.000000008,4640684.99999996,1.74486076831818
398677.000000008,4639784.99999996,1.73081254959106
398677.000000008,4638884.99999996,1.71304488182068
398677.000000008,4637984.99999996,1.70447146892548
398677.000000008,4637084.99999996,1.689470911026
397777.000000008,4635284.99999996,1.65756380558014
397777.000000008,4634384.99999996,1.63615226745605
393277.000000008,4633484.99999996,1.87948966026306
394177.000000008,4633484.99999996,1.78252643346786
397777.000000008,4633484.99999996,1.62486469745636
386077.000000009,4632584.99999996,2.63537204265594
391477.000000009,4632584.99999996,2.52703301111857
394177.000000008,4632584.99999996,2.08032804727554
397777.000000008,4632584.99999996,1.60881312688192
385177.000000009,4631684.99999996,2.46948766708374
386077.000000009,4631684.99999996,2.87224793434143
387877.000000009,4631684.99999996,2.92141056060791
388777.000000009,4631684.99999996,2.87967856725057
389677.000000009,4631684.99999996,2.5963414311409
391477.000000009,4631684.99999996,2.59923624992371
392377.000000008,4631684.99999996,2.30191326141357
393277.000000008,4631684.99999996,1.99670219421387
396877.000000008,4631684.99999996,1.58793830871582
397777.000000008,4631684.99999996,1.59804368019104
386977.000000009,4630784.99999996,2.51825749874115
387877.000000009,4630784.99999996,2.75934815406799
388777.000000009,4630784.99999996,2.37441551685333
389677.000000009,4630784.99999996,2.68367187182109
390577.000000009,4630784.99999996,2.60799160003662
391477.000000009,4630784.99999996,2.62490235434638
392377.000000008,4630784.99999996,2.61558969815572
393277.000000008,4630784.99999996,1.76235340535641
394177.000000008,4630784.99999996,1.87836154301961
395077.000000008,4630784.99999996,1.70243306954702
396877.000000008,4630784.99999996,1.5777995189031
386977.000000009,4629884.99999996,2.4579971631368
387877.000000009,4629884.99999996,2.81624878777398
388777.000000009,4629884.99999996,2.39128507508172
389677.000000009,4629884.99999996,2.57882101005978
390577.000000009,4629884.99999996,2.49914634227753
391477.000000009,4629884.99999996,2.23063080840641
392377.000000008,4629884.99999996,2.46916086143918
393277.000000008,4629884.99999996,1.83255871136983
394177.000000008,4629884.99999996,2.00306876500448
395077.000000008,4629884.99999996,1.75541324615479
396877.000000008,4629884.99999996,1.55152350664139
386077.000000009,4628984.99999996,2.67256474494934
386977.000000009,4628984.99999996,2.30502847830454
387877.000000009,4628984.99999996,2.71236030260722
388777.000000009,4628984.99999996,2.63163921568129
389677.000000009,4628984.99999996,2.27515942520565
390577.000000009,4628984.99999996,2.2462619278166
391477.000000009,4628984.99999996,2.30011681715647
392377.000000008,4628984.99999996,2.38635745313433
393277.000000008,4628984.99999996,1.69250988960266
395977.000000008,4628984.99999996,1.56662091612816
396877.000000008,4628984.99999996,1.54089987277985
386977.000000009,4628084.99999996,2.48799753189087
388777.000000009,4628084.99999996,2.34788882732391
389677.000000009,4628084.99999996,2.46868014335632
390577.000000009,4628084.99999996,2.17289204067654
391477.000000009,4628084.99999996,1.83773758676317
392377.000000008,4628084.99999996,2.14275864760081
393277.000000008,4628084.99999996,1.71425198184119
394177.000000008,4628084.99999996,1.84859478473663
395077.000000008,4628084.99999996,1.69889760017395
395977.000000008,4628084.99999996,1.65196752548218
387877.000000009,4627184.99999996,2.48570919036865
388777.000000009,4627184.99999996,2.58910799026489
389677.000000009,4627184.99999996,2.61055946350098
390577.000000009,4627184.99999996,2.66428852081299
391477.000000009,4627184.99999996,1.98782954216003
392377.000000008,4627184.99999996,2.3223667939504
393277.000000008,4627184.99999996,2.10106534428067
394177.000000008,4627184.99999996,1.8299337360594
395077.000000008,4627184.99999996,2.17744116485119
391477.000000009,4626284.99999996,2.29820287227631
392377.000000008,4626284.99999996,2.42824044823647
393277.000000008,4626284.99999996,2.07116612792015
394177.000000008,4626284.99999996,1.75721564888954
395077.000000008,4626284.99999996,2.3854345480601
392377.000000008,4625384.99999996,2.2511967420578
393277.000000008,4625384.99999996,1.69278903007507
395077.000000008,4625384.99999996,2.04408183693886
395977.000000008,4625384.99999996,2.26010839144389
395077.000000008,4624484.99999996,2.55719256401062
395977.000000008,4624484.99999996,2.27408157076154
396877.000000008,4624484.99999996,1.65841060876846
395077.000000008,4623584.99999996,1.42442961533864
395977.000000008,4623584.99999996,2.37099719047546
396877.000000008,4623584.99999996,2.16707887914446
397777.000000008,4623584.99999996,2.17051389813423
395977.000000008,4622684.99999996,1.40670895576477
396877.000000008,4622684.99999996,1.66218852996826
397777.000000008,4622684.99999996,2.05122326314449
398677.000000008,4622684.99999996,2.11962983012199
397777.000000008,4621784.99999996,2.20202338695526
398677.000000008,4621784.99999996,1.89675291946956
399577.000000008,4621784.99999996,2.2476419040135
400477.000000008,4621784.99999996,1.89160299301147
401377.000000008,4621784.99999996,1.34990322589874
399577.000000008,4620884.99999996,1.76161570208413
400477.000000008,4620884.99999996,1.94366643163893
401377.000000008,4620884.99999996,1.84995356627873
402277.000000008,4620884.99999996,1.64558660984039
399577.000000008,4619984.99999996,1.66879165172577
400477.000000008,4619984.99999996,2.26933154794905
401377.000000008,4619984.99999996,2.28025452295939
402277.000000008,4619984.99999996,1.71651436388493
403177.000000008,4619984.99999996,1.33285732269287
399577.000000008,4619084.99999996,1.59263702233632
400477.000000008,4619084.99999996,2.17080406347911
401377.000000008,4619084.99999996,2.28831418355306
402277.000000008,4619084.99999996,1.93056130409241
403177.000000008,4619084.99999996,1.32591110467911
404077.000000008,4619084.99999996,1.32124996185303
400477.000000008,4618184.99999996,1.66742086410522
401377.000000008,4618184.99999996,1.81224384903908
402277.000000008,4618184.99999996,1.54201558232307
404077.000000008,4618184.99999996,1.47554469108582
399577.000000008,4617284.99999996,2.29720854759216
400477.000000008,4617284.99999996,2.09864502482944
401377.000000008,4617284.99999996,1.80512970685959
402277.000000008,4617284.99999996,1.53736114501953
403177.000000008,4617284.99999996,1.72789216041565
404077.000000008,4617284.99999996,1.32625029768263
399577.000000008,4616384.99999996,2.23584818840027
400477.000000008,4616384.99999996,2.21983294486999
401377.000000008,4616384.99999996,1.78044486045837
