"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Max_Monthly_Anomaly_Nitrate","Mean_Monthly_Summer_Nitrate","Mean_Monthly_Temp","Mean_Monthly_Summer_Temp","MHW_Upwelling_Days","Min_Monthly_Anomaly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","Min_Monthly_Temp","Mean_Monthly_Upwelling_Temp","log_den_PYCHEL","log_Days_16C","log_mean_vrm","mean_slope","mean_depth","mean_prob_of_rock","wh_max","wh_mean","mean_waveyear","wh_95prc","log_UBR_Mean","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1864.15549251836,2033.63951119911,0.74206,NA,34.57,0,0,51.95,0.066,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.066
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+mean_depth","Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1866.29751905099,2027.64617490496,0.74021,NA,32.83,0,2.142,45.957,0.023,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.089
