"","summary_stat","mean_stat","submodel"
"104","mean_R.Sqr",0.649243684470818,"bm4.3"
"105","mean_R.sqr_test",0.967008900455379,"bm4.3"
"106","mean_residuals",0.00327760000610359,"bm4.3"
"107","mean_residuals_test",2.09973796216413,"bm4.3"
"108","rmse",2.63407437006747,"bm4.3"
"109","dev.exp",0.625711651876172,"bm4.4"
"110","mean_R.Sqr",0.657636636492153,"bm4.4"
"111","mean_R.sqr_test",0.970604288368108,"bm4.4"
"112","mean_residuals",0.00397328293775573,"bm4.4"
"113","mean_residuals_test",2.09569714579501,"bm4.4"
"114","rmse",2.61583789135021,"bm4.4"
"115","dev.exp",0.632106326587107,"bm4.5"
"116","mean_R.Sqr",0.652195499496351,"bm4.5"
"117","mean_R.sqr_test",0.917607214586459,"bm4.5"
"118","mean_residuals",0.00534715695947078,"bm4.5"
"119","mean_residuals_test",2.07162405765919,"bm4.5"
"120","rmse",2.57416801860288,"bm4.5"
