,modname,formula,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,Days_10N,Min_Monthly_Nitrate,Max_Monthly_Nitrate,Mean_Monthly_Nitrate,Mean_Monthly_Upwelling_Nitrate,Max_Monthly_Anomaly_Nitrate,Mean_Monthly_Summer_Nitrate,Mean_Monthly_Temp,Mean_Monthly_Summer_Temp,MHW_Upwelling_Days,Min_Monthly_Anomaly_Temp,Max_Monthly_Anomaly_Upwelling_Temp,Min_Monthly_Temp,Mean_Monthly_Upwelling_Temp,mean_depth,mean_prob_of_rock,wh_max,wh_mean,wh_95prc,Mean_Monthly_NPP,Max_Monthly_NPP_Upwelling,log_den_MESFRAAD,log_den_STRPURAD,log_den_PYCHEL,log_Days_16C,log_UBR_Mean,log_UBR_Max,log_Mean_Monthly_NPP_Upwelling,log_Min_Monthly_NPP,cumsum.wi
log_den_PYCHEL+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Temp+wh_95prc+wh_max,log_den_PYCHEL+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Temp+wh_95prc+wh_max,"s(log_den_PYCHEL, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.135346,1482.282914,0.44716,NA,39.04,0,33.082,77.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0.991
Days_10N+log_UBR_Max+Mean_Monthly_Summer_Nitrate+mean_prob_of_rock+Min_Monthly_Nitrate+wh_95prc+wh_max,Days_10N+log_UBR_Max+Mean_Monthly_Summer_Nitrate+mean_prob_of_rock+Min_Monthly_Nitrate+wh_95prc+wh_max,"s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Nitrate, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.142936,1492.141086,0.45071,NA,39.89,0,33.089,87.216,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.991
Days_10N+log_UBR_Max+Mean_Monthly_Summer_Nitrate+Min_Monthly_Temp+wh_95prc+wh_max,Days_10N+log_UBR_Max+Mean_Monthly_Summer_Nitrate+Min_Monthly_Temp+wh_95prc+wh_max,"s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Nitrate, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.143126,1473.925946,0.4472,NA,37.25,0,33.089,69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.991
Days_10N+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+wh_max+wh_mean,Days_10N+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+wh_max+wh_mean,"s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(wh_mean, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.14518,1481.71517,0.44898,NA,37.68,0,33.091,76.79,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.991
log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max,log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.145942,1473.493641,0.45398,NA,36.27,0,33.092,68.568,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.991
log_den_MESFRAAD+log_UBR_Max+Max_Monthly_Nitrate+mean_prob_of_rock+MHW_Upwelling_Days+wh_95prc+wh_max,log_den_MESFRAAD+log_UBR_Max+Max_Monthly_Nitrate+mean_prob_of_rock+MHW_Upwelling_Days+wh_95prc+wh_max,"s(log_den_MESFRAAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.148403,1483.456433,0.33844,NA,38.03,0,33.095,78.531,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.991
log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+MHW_Upwelling_Days+wh_max+wh_mean,log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+MHW_Upwelling_Days+wh_max+wh_mean,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(wh_mean, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.149214,1493.501295,0.35417,NA,39.64,0,33.095,88.576,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0.991
log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max,log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.152954,1502.878812,0.47057,NA,42.06,0,33.099,97.953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0.991
log_UBR_Mean+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+MHW_Upwelling_Days+Min_Monthly_Temp+wh_max,log_UBR_Mean+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+MHW_Upwelling_Days+Min_Monthly_Temp+wh_max,"s(log_UBR_Mean, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.153728,1441.687165,0.32177,NA,30.07,1,33.1,36.762,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.991
log_den_PYCHEL+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+wh_95prc+wh_max,log_den_PYCHEL+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+wh_95prc+wh_max,"s(log_den_PYCHEL, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1303.158742,1491.220813,0.45641,NA,39.74,0,33.105,86.295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0.991
