,modname,formula,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,Days_10N,Min_Monthly_Nitrate,Max_Monthly_Nitrate,Mean_Monthly_Nitrate,Mean_Monthly_Upwelling_Nitrate,Max_Monthly_Anomaly_Nitrate,Mean_Monthly_Summer_Nitrate,Mean_Monthly_Temp,Mean_Monthly_Summer_Temp,MHW_Upwelling_Days,Min_Monthly_Anomaly_Temp,Max_Monthly_Anomaly_Upwelling_Temp,Min_Monthly_Temp,Mean_Monthly_Upwelling_Temp,mean_depth,mean_prob_of_rock,wh_max,wh_mean,wh_95prc,Mean_Monthly_NPP,Max_Monthly_NPP_Upwelling,log_den_MESFRAAD,log_den_STRPURAD,log_den_PYCHEL,log_Days_16C,log_UBR_Mean,log_UBR_Max,log_Mean_Monthly_NPP_Upwelling,log_Min_Monthly_NPP,cumsum.wi
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+MHW_Upwelling_Days+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+MHW_Upwelling_Days+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1270.053756,1404.925486,0.13831,NA,30.18,1,0,0,0.404,0.49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.404
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1271.02903,1419.735256,0.41294,NA,33,1,0.975,14.81,0.248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0.652
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1273.658726,1406.556788,0.35909,NA,29.74,1,3.605,1.631,0.067,0.217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.719
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_Summer_Temp+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_Summer_Temp+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.138187,1415.042617,0.35948,NA,31.21,1,5.084,10.117,0.032,0.003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.751
log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.154358,1421.730266,0.39701,NA,32.5,1,5.101,16.805,0.032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0.783
Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.740954,1417.256106,0.38532,NA,31.31,1,5.687,12.331,0.023,0.001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.806
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.939631,1418.398978,0.39951,NA,31.81,1,5.886,13.473,0.021,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0.827
log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.195314,1422.052168,0.40341,NA,32.36,1,6.142,17.127,0.019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0.846
log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.418916,1423.472211,0.45446,NA,32.51,1,6.365,18.547,0.017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.863
log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.694751,1423.613475,0.41059,NA,32.59,1,6.641,18.688,0.015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.878
log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.834942,1415.541803,0.44493,NA,30.8,1,6.781,10.616,0.014,0.002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.892
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_Summer_Nitrate+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_Summer_Nitrate+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Nitrate, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1277.215508,1419.019036,0.39478,NA,31.58,1,7.162,14.094,0.011,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.903
log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+MHW_Upwelling_Days+wh_max,log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+MHW_Upwelling_Days+wh_max,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1277.349412,1419.434738,0.3326,NA,31.48,1,7.296,14.509,0.011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.914
log_Days_16C+log_den_MESFRAAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_den_MESFRAAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_MESFRAAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1277.350742,1419.668266,0.39316,NA,31.74,1,7.297,14.743,0.011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.925
log_den_PYCHEL+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_den_PYCHEL+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_den_PYCHEL, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1277.980119,1421.012297,0.44827,NA,31.78,1,7.926,16.087,0.008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0.933
log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_95prc+wh_max,log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_95prc+wh_max,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1278.631223,1421.133982,0.44534,NA,31.63,1,8.577,16.208,0.006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0.939
log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+Mean_Monthly_Summer_Nitrate+mean_prob_of_rock+wh_max,log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+Mean_Monthly_Summer_Nitrate+mean_prob_of_rock+wh_max,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Nitrate, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1278.695944,1420.886477,0.44349,NA,31.63,1,8.642,15.961,0.005,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.944
log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+Mean_Monthly_Summer_Temp+mean_prob_of_rock+wh_max,log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+Mean_Monthly_Summer_Temp+mean_prob_of_rock+wh_max,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1278.797747,1420.932528,0.44392,NA,31.65,1,8.744,16.007,0.005,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.949
log_den_MESFRAAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_den_MESFRAAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_den_MESFRAAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1279.02056,1421.657529,0.44517,NA,31.78,1,8.967,16.732,0.005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0.954
log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1279.213388,1421.952069,0.44485,NA,31.73,1,9.16,17.027,0.004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0.958
log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max+wh_mean,log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max+wh_mean,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(wh_mean, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1279.419523,1422.031462,0.44471,NA,31.63,1,9.366,17.106,0.004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.962
Days_10N+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,Days_10N+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1279.429164,1426.424873,0.44539,NA,32.27,1,9.375,21.499,0.004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.966
log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_95prc+wh_max,log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_95prc+wh_max,"s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1279.705059,1420.531663,0.43677,NA,31.24,1,9.651,15.606,0.003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0.969
log_den_STRPURAD+log_UBR_Max+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+Min_Monthly_Temp+wh_max,log_den_STRPURAD+log_UBR_Max+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+Min_Monthly_Temp+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1280.476194,1427.27245,0.45223,NA,32.36,1,10.422,22.347,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.971
Days_10N+log_Days_16C+log_UBR_Max+mean_depth+mean_prob_of_rock+Min_Monthly_Temp+wh_max,Days_10N+log_Days_16C+log_UBR_Max+mean_depth+mean_prob_of_rock+Min_Monthly_Temp+wh_max,"s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1280.701735,1426.915324,0.40306,NA,32.19,1,10.648,21.99,0.002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.973
log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock+wh_max,log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1280.958001,1421.934843,0.44605,NA,31.33,1,10.904,17.009,0.002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.975
log_UBR_Max+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+Min_Monthly_Temp+wh_max,log_UBR_Max+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+Min_Monthly_Temp+wh_max,"s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1281.214397,1420.126487,0.44332,NA,30.7,1,11.161,15.201,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.977
log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1281.419441,1424.076453,0.44725,NA,31.58,1,11.366,19.151,0.001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0.978
log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock+Min_Monthly_Temp+wh_max,log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+mean_depth+mean_prob_of_rock+Min_Monthly_Temp+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(Min_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1281.461423,1425.592137,0.39624,NA,31.99,1,11.408,20.667,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0.979
