"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Max_Monthly_Anomaly_Nitrate","Mean_Monthly_Summer_Nitrate","Mean_Monthly_Temp","Mean_Monthly_Summer_Temp","MHW_Upwelling_Days","Min_Monthly_Anomaly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","Min_Monthly_Temp","Mean_Monthly_Upwelling_Temp","mean_depth","mean_prob_of_rock","wh_max","wh_mean","wh_95prc","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","log_den_MESFRAAD","log_den_STRPURAD","log_den_PYCHEL","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+MHW_Upwelling_Days+wh_max","log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+MHW_Upwelling_Days+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1270.05375594206,1404.92548552162,0.13831,NA,30.18,1,0,0,0.404,0.49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.404
"log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max","log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1271.02902983188,1419.73525576105,0.41294,NA,33,1,0.975,14.81,0.248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0.652
