"","summary_stat","mean_stat","se_stat","submodel"
"1","dev.exp",0.637283511864227,0.00136205635957701,"bm1"
"2","mean_R.Sqr",0.657843934774469,0.00189125904719052,"bm1"
"3","mean_R.sqr_test",0.881821147444166,0.0342688856533102,"bm1"
"4","mean_residuals",0.0052793302833427,5.76508546975249e-05,"bm1"
"5","mean_residuals_test",2.06942923589132,0.0583545091156361,"bm1"
"6","rmse",2.57282011331936,0.045246379618342,"bm1"
"7","dev.exp",0.642368359618899,0.0017928550886501,"bm2"
"8","mean_R.Sqr",0.680440470169132,0.0024558898345448,"bm2"
"9","mean_R.sqr_test",0.839570829390195,0.0410894899963782,"bm2"
"10","mean_residuals",0.00510465070113292,7.25663096670176e-05,"bm2"
"11","mean_residuals_test",2.04716042588754,0.0602172076205634,"bm2"
"12","rmse",2.52351663261566,0.0615445580394041,"bm2"
"13","dev.exp",0.634317227534599,0.00225713362068692,"bm3"
"14","mean_R.Sqr",0.659951460400923,0.00241329154647171,"bm3"
"15","mean_R.sqr_test",0.941520018307388,0.0721530014302964,"bm3"
"16","mean_residuals",0.00443049615627374,0.000119503090533674,"bm3"
"17","mean_residuals_test",2.0924660922862,0.0860908683624451,"bm3"
"18","rmse",2.60411099308024,0.0686964509139765,"bm3"
"19","dev.exp",0.640805617951856,0.00151044564915941,"bm4"
"20","mean_R.Sqr",0.679679799020228,0.0022786255728687,"bm4"
"21","mean_R.sqr_test",0.844985539365407,0.0593705964119931,"bm4"
"22","mean_residuals",0.00471699308337192,7.03336638419486e-05,"bm4"
"23","mean_residuals_test",2.05027572279122,0.0692509421587076,"bm4"
"24","rmse",2.52849625492722,0.0595193499765138,"bm4"
