"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","log_den_STRPURAD+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.47453316846,1516.28427914809,0.38373,NA,32.07,0,37.403,14.833,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.999
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.51944239321,1545.3434704696,0.47365,NA,38.39,0,37.448,43.892,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Nitrate+wh_max","log_den_STRPURAD+log_UBR_Max+Mean_Monthly_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.52025370616,1516.99264752707,0.47034,NA,32.85,0,37.449,15.541,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.64612616812,1536.39203873364,0.46909,NA,36.88,0,37.575,34.941,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.69361597315,1541.7076363817,0.44959,NA,37.84,0,37.623,40.256,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.999
"log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.70480241383,1543.85114086255,0.37467,NA,38.92,0,37.634,42.4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Temp+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.70557402458,1526.36842427891,0.46397,NA,35.14,0,37.634,24.917,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.999
"log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc+wh_max","log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc+wh_max","s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.70747944129,1545.60322105585,0.41705,NA,39.56,0,37.636,44.152,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0.999
"log_den_STRPURAD+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","log_den_STRPURAD+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.72400106442,1513.32462436487,0.45311,NA,33.03,0,37.653,11.873,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.72524356791,1550.67697499,0.46467,NA,39.63,0,37.654,49.226,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.73151716433,1530.86332783933,0.34017,NA,35.65,0,37.66,29.412,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP","log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.75303517063,1537.05230861216,0.42221,NA,35.75,0,37.682,35.601,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Mean_Monthly_Upwelling_Nitrate+wh_95prc","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Mean+Mean_Monthly_Upwelling_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Mean_Monthly_Upwelling_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1359.7793752596,1531.88066091635,0.48621,NA,34.93,0,37.708,30.429,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0.999
