"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1322.07108174037,1517.44815357781,0.44494,NA,42,0,0,15.997,0.179,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0.179
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1322.32162824891,1515.55990790955,0.44393,NA,41.46,0,0.251,14.109,0.158,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0.337
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1322.36936194212,1513.64300084688,0.44358,NA,40.83,0,0.298,12.192,0.154,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0.491
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1323.48433704042,1518.85288913368,0.44403,NA,41.89,0,1.413,17.402,0.088,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0.579
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1324.30171719971,1516.16142956338,0.50332,NA,41.25,0,2.231,14.71,0.059,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0.638
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1324.4667065323,1505.89639081908,0.48146,NA,39.65,0,2.396,4.445,0.054,0.012,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0.692
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1324.7620015514,1508.12385157506,0.48181,NA,40.28,0,2.691,6.673,0.047,0.004,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0.739
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.26721741737,1506.53015401532,0.48097,NA,39.6,0,3.196,5.079,0.036,0.009,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0.775
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.53073290821,1525.41913669071,0.44874,NA,42.33,0,3.46,23.968,0.032,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.807
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.58275271426,1508.85966335913,0.48132,NA,40.25,0,3.512,7.408,0.031,0.003,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0.838
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.6874344408,1502.18602686553,0.48111,NA,38.36,0,3.616,0.735,0.029,0.078,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.867
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.81362059962,1504.27218404479,0.4815,NA,39.01,0,3.743,2.821,0.028,0.027,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.895
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1326.42911809898,1524.6514845593,0.45813,NA,41.79,0,4.358,23.2,0.02,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0.915
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1326.74102744756,1518.79114731036,0.50095,NA,41.09,0,4.67,17.34,0.017,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0.932
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1327.26407393073,1519.04704702897,0.34267,NA,40.32,0,5.193,17.596,0.013,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0.945
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1328.13677586395,1514.49323284393,0.48425,NA,39.99,0,6.066,13.042,0.009,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0.954
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1328.2997169243,1504.0563147636,0.49463,NA,38.2,0,6.229,2.605,0.008,0.031,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0.962
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1328.39683084978,1516.71898727053,0.48457,NA,40.64,0,6.326,15.268,0.008,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0.97
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1329.13312609064,1515.04287873244,0.49845,NA,39.61,0,7.062,13.592,0.005,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0.975
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1329.40588612623,1522.74599687749,0.46418,NA,40.46,0,7.335,21.295,0.005,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0.98
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1330.78733260195,1518.06891632236,0.50117,NA,39.16,0,8.716,16.618,0.002,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0.982
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1331.07781375723,1523.89052763863,0.45254,NA,40.2,0,9.007,22.439,0.002,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0.984
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1331.12637640647,1516.37104615877,0.49716,NA,38.67,0,9.055,14.92,0.002,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0.986
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1331.31482181171,1528.35065134937,0.50251,NA,41.35,0,9.244,26.899,0.002,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0.988
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1331.59302786582,1524.77100518034,0.46211,NA,40.33,0,9.522,23.32,0.002,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.99
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1332.08370288465,1526.53593714063,0.50279,NA,40.73,0,10.013,25.085,0.001,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0.991
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1332.73237205864,1514.72193649278,0.4978,NA,38.67,0,10.661,13.271,0.001,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0.992
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.2018973339,1503.50229480265,0.49173,NA,36.48,0,11.131,2.051,0.001,0.04,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.993
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.45517111648,1519.51947942168,0.45686,NA,38.48,0,11.384,18.068,0.001,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.994
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.4770246283,1520.87797550103,0.49875,NA,39.05,0,11.406,19.427,0.001,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0.995
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.4909975849,1522.03095152263,0.45274,NA,39.04,0,11.42,20.58,0.001,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.996
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.53437373848,1523.86261988665,0.41988,NA,40.29,0,11.463,22.411,0.001,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0.997
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.62328829769,1520.24776122222,0.38091,NA,39.81,0,11.552,18.796,0.001,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0.998
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1333.65125051042,1517.99924874374,0.50059,NA,39.17,0,11.58,16.548,0.001,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1335.4419944535,1521.71764476537,0.49681,NA,40.04,0,13.371,20.266,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0.999
