bm_id,Formula
bm1,log_Days_16C+Mean_Monthly_Upwelling_Temp+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm2,log_Days_16C+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm3,Mean_Monthly_Upwelling_Temp+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm4,Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm5,log_Days_16C+Mean_Monthly_Upwelling_Temp+Max_Monthly_Nitrate+mean_depth+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm6,log_Days_16C+Max_Monthly_Nitrate+mean_depth+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm7,Mean_Monthly_Upwelling_Temp+Max_Monthly_Nitrate+mean_depth+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
bm8,Max_Monthly_Nitrate+mean_depth+wh_mean+log_UBR_Max+Mean_Monthly_NPP+log_den_STRPURAD
