"year","latlon","max.area","latitude","longitude","longitude.1","latitude.1"
"2021","38.77765_-123.5566",259,38.77765,-123.5566,-123.5566,38.77765
"2021","38.77983_-123.5539",63,38.77983,-123.5539,-123.5539,38.77983
"2021","38.78224_-123.5577",120,38.78224,-123.5577,-123.5577,38.78224
"2021","38.78304_-123.5598",72,38.78304,-123.5598,-123.5598,38.78304
"2021","38.79004_-123.5661",29,38.79004,-123.5661,-123.5661,38.79004
"2021","38.79433_-123.573",196,38.79433,-123.573,-123.573,38.79433
"2021","38.79594_-123.5758",23,38.79594,-123.5758,-123.5758,38.79594
"2021","38.79911_-123.591",116,38.79911,-123.591,-123.591,38.79911
"2021","38.80074_-123.5896",84,38.80074,-123.5896,-123.5896,38.80074
"2021","38.83208_-123.6438",31,38.83208,-123.6438,-123.6438,38.83208
"2021","38.83398_-123.6438",29,38.83398,-123.6438,-123.6438,38.83398
"2021","38.83801_-123.6473",66,38.83801,-123.6473,-123.6473,38.83801
"2021","38.84472_-123.6564",49,38.84472,-123.6564,-123.6564,38.84472
"2021","38.84634_-123.6578",49,38.84634,-123.6578,-123.6578,38.84634
"2021","38.84711_-123.6643",31,38.84711,-123.6643,-123.6643,38.84711
"2021","38.84902_-123.6616",63,38.84902,-123.6616,-123.6616,38.84902
"2021","38.84957_-123.6588",87,38.84957,-123.6588,-123.6588,38.84957
"2021","38.85253_-123.6613",113,38.85253,-123.6613,-123.6613,38.85253
"2021","38.85258_-123.6526",81,38.85258,-123.6526,-123.6526,38.85258
"2021","38.85336_-123.6589",87,38.85336,-123.6589,-123.6589,38.85336
"2021","38.85338_-123.6547",34,38.85338,-123.6547,-123.6547,38.85338
"2021","38.85418_-123.6568",373,38.85418,-123.6568,-123.6568,38.85418
"2021","38.85549_-123.6644",106,38.85549,-123.6644,-123.6644,38.85549
"2021","38.85737_-123.6662",90,38.85737,-123.6662,-123.6662,38.85737
"2021","38.85849_-123.6589",44,38.85849,-123.6589,-123.6589,38.85849
"2021","38.87054_-123.6801",34,38.87054,-123.6801,-123.6801,38.87054
"2021","38.87433_-123.6788",56,38.87433,-123.6788,-123.6788,38.87433
"2021","38.87781_-123.685",21,38.87781,-123.685,-123.685,38.87781
